instance,model,obj,time,status,lp_relaxation,mip_gap,bb_nodes,n_nodes,n_edges,n_terminals
i080_041.py,undirected flow,1276.0,5.89,2,1276.0,0.0,1045.0,80,632,6
i080_041.py,directed cut,9002.0,30.42,9,1031.0,0.8854698955787603,853.0,80,632,6
i080_042.py,undirected cut,,30.14,9,983.0,,831.0,80,632,6
i080_042.py,undirected flow,1287.0,16.79,2,1287.0,0.0,2697.0,80,632,6
i080_042.py,directed cut,9571.0,30.15,9,1032.0,0.89217427646014,908.0,80,632,6
i080_043.py,undirected cut,,30.16,9,994.0,,934.0,80,632,6
i080_043.py,undirected flow,1295.0,10.6,2,1295.0,0.0,1752.0,80,632,6
i080_043.py,directed cut,5198.0,30.3,9,1073.0,0.793574451712197,887.0,80,632,6
i080_044.py,undirected cut,,30.42,9,981.0,,925.0,80,632,6
i080_044.py,undirected flow,1366.0,28.16,2,1366.0,0.0,6896.0,80,632,6
i080_044.py,directed cut,8778.0,30.84,9,1022.0,0.8835725677830941,783.0,80,632,6
i080_045.py,undirected cut,,30.55,9,987.0,,837.0,80,632,6
i080_045.py,undirected flow,1310.0,27.85,2,1310.0,0.0,5846.0,80,632,6
i080_045.py,directed cut,6606.0,30.46,9,1004.0,0.8480169542839843,857.0,80,632,6
i080_101.py,undirected cut,2608.0,9.5,2,2608.0000000000005,0.0,1041.0,80,120,8
i080_101.py,undirected flow,2608.0,1.29,2,2608.0,0.0,237.0,80,120,8
i080_101.py,directed cut,2608.0,7.83,2,2608.0,0.0,759.0,80,120,8
i080_102.py,undirected cut,2405.0,30.36,9,2180.0,0.09355509355509356,1272.0,80,120,8
i080_102.py,undirected flow,2403.0,0.88,2,2403.0,0.0,178.0,80,120,8
i080_102.py,directed cut,2405.0,30.35,9,2231.0,0.07234927234927235,1312.0,80,120,8
i080_103.py,undirected cut,2603.0,30.23,9,2275.0,0.1260084517864003,1332.0,80,120,8
i080_103.py,undirected flow,2603.0,1.45,2,2603.0,0.0,685.0,80,120,8
i080_103.py,directed cut,2603.0,30.16,9,2394.0,0.08029197080291971,1224.0,80,120,8
i080_104.py,undirected cut,2996.0,30.07,9,2108.0,0.2963951935914553,1192.0,80,120,8
i080_104.py,undirected flow,2486.0,0.99,2,2486.0,0.0,670.0,80,120,8
i080_104.py,directed cut,2486.0,30.21,9,2253.0,0.09372485921158488,1246.0,80,120,8
i080_105.py,undirected cut,2293.0,30.12,9,1972.0,0.1399912778020061,1390.0,80,120,8
i080_105.py,undirected flow,2203.0,0.55,2,2203.0,0.0,220.0,80,120,8
i080_105.py,directed cut,2203.0,27.47,2,2203.0,0.0,1602.0,80,120,8
i080_111.py,undirected cut,,30.25,9,1564.0,,893.0,80,350,8
i080_111.py,undirected flow,2051.0,30.69,9,1863.0,0.0916626036079961,3163.0,80,350,8
i080_111.py,directed cut,8022.0,30.9,9,1585.0,0.8024183495387683,831.0,80,350,8
i080_112.py,undirected cut,2790.0,30.12,9,1471.0,0.47275985663082437,948.0,80,350,8
i080_112.py,undirected flow,1885.0,30.27,9,1744.0,0.07480106100795755,4329.0,80,350,8
i080_112.py,directed cut,7419.0,30.6,9,1487.0,0.7995686750235881,804.0,80,350,8
i080_113.py,undirected cut,,30.28,9,1436.0,,873.0,80,350,8
i080_113.py,undirected flow,1884.0,30.2,9,1837.0,0.024946921443736732,5812.0,80,350,8
i080_113.py,directed cut,8109.0,30.19,9,1496.0,0.8155136268343816,899.0,80,350,8
i080_114.py,undirected cut,,30.1,9,1508.0,,1005.0,80,350,8
i080_114.py,undirected flow,1895.0,8.21,2,1895.0,0.0,2046.0,80,350,8
i080_114.py,directed cut,2710.0,30.31,9,1522.0,0.43837638376383764,997.0,80,350,8
i080_115.py,undirected cut,,30.16,9,1468.0,,985.0,80,350,8
i080_115.py,undirected flow,1868.0,14.04,2,1868.0,0.0,2030.0,80,350,8
i080_115.py,directed cut,8136.0,30.59,9,1554.0,0.8089970501474927,913.0,80,350,8
i080_121.py,undirected cut,,30.6,9,1110.0,,275.0,80,3160,8
i080_121.py,undirected flow,1741.0,31.66,9,1199.0,0.3113153360137852,53.0,80,3160,8
i080_121.py,directed cut,31399.0,30.4,9,1179.0,0.9624510334724036,277.0,80,3160,8
i080_122.py,undirected cut,,30.31,9,1121.0,,291.0,80,3160,8
i080_122.py,undirected flow,1731.0,32.21,9,1259.0,0.2726747544771808,12.0,80,3160,8
i080_122.py,directed cut,2056.0,30.81,9,1203.0,0.4148832684824903,372.0,80,3160,8
i080_123.py,undirected cut,,30.76,9,1114.0,,323.0,80,3160,8
i080_123.py,undirected flow,1759.0,31.71,9,1271.0,0.27743035815804434,34.0,80,3160,8
i080_123.py,directed cut,1972.0,30.16,9,1225.0,0.3788032454361055,388.0,80,3160,8
i080_124.py,undirected cut,,30.24,9,1117.0000000000002,,319.0,80,3160,8
i080_124.py,undirected flow,1826.0,31.44,9,1254.0,0.3132530120481928,11.0,80,3160,8
i080_124.py,directed cut,1942.0,30.89,9,1195.0,0.3846549948506694,373.0,80,3160,8
i080_125.py,undirected cut,,30.31,9,1109.0,,348.0,80,3160,8
i080_125.py,undirected flow,1734.0,31.87,9,1233.0,0.2889273356401384,67.0,80,3160,8
i080_125.py,directed cut,2063.0,30.9,9,1208.0,0.4144449830344159,401.0,80,3160,8
i080_131.py,undirected cut,3189.0,30.12,9,1974.0,0.380997177798683,1273.0,80,160,8
i080_131.py,undirected flow,2284.0,1.52,2,2284.0,0.0,515.0,80,160,8
i080_131.py,directed cut,2284.0,30.1,9,2110.0000000000005,0.07618213660245164,1657.0,80,160,8
i080_132.py,undirected cut,2210.0,30.12,9,1683.0,0.23846153846153847,1197.0,80,160,8
i080_132.py,undirected flow,2180.0,9.52,2,2180.0,0.0,3820.0,80,160,8
i080_132.py,directed cut,2587.0,30.4,9,1738.0,0.3281793583301121,1212.0,80,160,8
i080_133.py,undirected cut,3275.0,30.32,9,1790.0,0.4534351145038168,1136.0,80,160,8
i080_133.py,undirected flow,2261.0,4.11,2,2261.0,0.0,2121.0,80,160,8
i080_133.py,directed cut,6765.0,30.06,9,1920.0,0.7161862527716186,1297.0,80,160,8
i080_134.py,undirected cut,,30.27,9,1643.0000000000002,,1273.0,80,160,8
i080_134.py,undirected flow,2070.0,3.82,2,2070.0,0.0,2260.0,80,160,8
i080_134.py,directed cut,5565.0,30.68,9,1721.0000000000002,0.6907457322551662,1317.0,80,160,8
i080_135.py,undirected cut,2370.0,30.57,9,1685.0,0.2890295358649789,1237.0,80,160,8
i080_135.py,undirected flow,2102.0,2.4,2,2102.0,0.0,1230.0,80,160,8
i080_135.py,directed cut,2105.0,30.29,9,1855.0,0.1187648456057007,1325.0,80,160,8
i080_141.py,undirected cut,,30.09,9,1370.0,,716.0,80,632,8
i080_141.py,undirected flow,1860.0,30.68,9,1574.0,0.15376344086021507,934.0,80,632,8
i080_141.py,directed cut,16659.0,30.3,9,1382.0,0.9170418392460532,670.0,80,632,8
i080_142.py,undirected cut,,30.65,9,1283.0,,737.0,80,632,8
i080_142.py,undirected flow,1849.0,30.53,9,1577.0,0.14710654407787993,822.0,80,632,8
i080_142.py,directed cut,9947.0,30.78,9,1377.0,0.8615663013974062,614.0,80,632,8
i080_143.py,undirected cut,,30.39,9,1272.0,,720.0,80,632,8
i080_143.py,undirected flow,1840.0,30.58,9,1598.0,0.13152173913043477,1191.0,80,632,8
i080_143.py,directed cut,16864.0,30.9,9,1374.0,0.9185246679316889,708.0,80,632,8
i080_144.py,undirected cut,,30.49,9,1288.0,,755.0,80,632,8
i080_144.py,undirected flow,1856.0,30.54,9,1577.0,0.15032327586206898,906.0,80,632,8
i080_144.py,directed cut,10039.0,31.17,9,1381.0,0.8624364976591294,719.0,80,632,8
i080_145.py,undirected cut,,30.5,9,1374.0,,771.0,80,632,8
i080_145.py,undirected flow,1762.0,30.46,9,1603.0,0.09023836549375709,979.0,80,632,8
i080_145.py,directed cut,9648.0,31.47,9,1387.0000000000002,0.8562396351575456,789.0,80,632,8
i080_201.py,undirected cut,6183.0,30.34,9,4205.0,0.31990942907973474,831.0,80,120,16
i080_201.py,undirected flow,4760.0,2.28,2,4760.0,0.0,1037.0,80,120,16
i080_201.py,directed cut,5648.0,30.16,9,4282.0,0.24185552407932012,841.0,80,120,16
i080_202.py,undirected cut,5347.0,30.34,9,3622.0,0.32261080979988777,775.0,80,120,16
i080_202.py,undirected flow,4650.0,30.21,9,4313.0,0.0724731182795699,15677.0,80,120,16
i080_202.py,directed cut,10292.0,30.11,9,3726.0,0.6379712397979013,787.0,80,120,16
i080_203.py,undirected cut,,30.12,9,4048.0,,831.0,80,120,16
i080_203.py,undirected flow,4599.0,8.46,2,4599.0,0.0,4477.0,80,120,16
i080_203.py,directed cut,5111.0,30.57,9,4145.0,0.1890041087849736,891.0,80,120,16
i080_204.py,undirected cut,,30.32,9,3743.0,,917.0,80,120,16
i080_204.py,undirected flow,4492.0,8.58,2,4492.0,0.0,3482.0,80,120,16
i080_204.py,directed cut,6273.0,30.59,9,3924.0,0.3744619799139168,883.0,80,120,16
i080_205.py,undirected cut,,30.14,9,3762.0,,913.0,80,120,16
i080_205.py,undirected flow,4564.0,30.29,9,4323.0,0.0528045574057844,16602.0,80,120,16
i080_205.py,directed cut,5849.0,30.41,9,3957.0,0.3234740981364336,680.0,80,120,16
i080_211.py,undirected cut,,30.56,9,2943.0,,541.0,80,350,16
i080_211.py,undirected flow,3739.0,30.76,9,3042.0,0.18641347953998394,358.0,80,350,16
i080_211.py,directed cut,11435.0,30.24,9,2849.0,0.7508526453869698,555.0,80,350,16
i080_212.py,undirected cut,,30.38,9,2618.0,,530.0,80,350,16
i080_212.py,undirected flow,4244.0,30.65,9,2859.0,0.3263430725730443,493.0,80,350,16
i080_212.py,directed cut,9902.0,30.47,9,2726.0,0.7247020803878005,503.0,80,350,16
i080_213.py,undirected cut,,30.67,9,2953.0,,471.0,80,350,16
i080_213.py,undirected flow,3824.0,30.53,9,2919.0,0.236663179916318,465.0,80,350,16
i080_213.py,directed cut,10518.0,30.36,9,2943.0,0.7201939532230462,468.0,80,350,16
i080_214.py,undirected cut,,30.44,9,2857.0,,508.0,80,350,16
i080_214.py,undirected flow,4043.0,30.68,9,2864.0,0.2916151372743013,437.0,80,350,16
